####### Preamble ##########################

#	byt_nr=1

#	bit_nr=8

#	encdg=BIN

#	bn_fmt=RI

#	byt_or=MSB

#	nr_pt=10000

#	wfid="Ch1, DC coupling, 1.0E-1 V/div, 2.0E0 s/div, 10000 points, Sample mode"

#	pt_fmt=Y

#	xincr=2.0E-3

#	pt_off=0

#	xzero=-1.0E1

#	xunit="s"

#	ymult=4.0E-3

#	yzero=0.0E0

#	yoff=0.0E0

#	yunit="V"

#######  Cursor ##########################

#VBA;IND;"s";8.48E0;-1.04E0;0.0E0;9.52E0;CURSOR2;-4.4E-2;-4.4E-2;6.2E-2;-5.8E-2;1.2E-1;CURSOR1;"V";CURSOR2;CURSOR2X;-4.2E-1;-6.2E0;4.2E-1;6.6E0;RECT;0.0E0;0.0E0;0.0E0;0.0E0;0.0E0;0.0E0;9.9E37;9.9E37;9.9E37;9.9E37;9.9E37;9.9E37;9.9E37;9.9E37;9.9E37;9.9E37;9.9E37;9.9E37


#######  Data ##########################

#RIB;REF1;CH1;1;10000;1


# Delete the above lines to open in excel ######



Time [s],volts [V]

0.0,0.14

0.002,0.212

0.004,0.196

0.006,0.192

0.008,0.192

0.01,0.192

0.012,0.192

0.014,0.056

0.016,0.052000000000000005

0.018000000000000002,0.052000000000000005

0.02,0.056

0.022,0.056

0.024,0.056

0.026000000000000002,0.052000000000000005

0.028,0.052000000000000005

0.03,0.052000000000000005

0.032,0.052000000000000005

0.034,0.052000000000000005

0.036000000000000004,0.056

0.038,0.056

0.04,0.052000000000000005

0.042,0.056

0.044,0.056

0.046,0.052000000000000005

0.048,0.052000000000000005

0.05,0.06

0.052000000000000005,0.052000000000000005

0.054,0.056

0.056,0.056

0.058,0.052000000000000005

0.06,0.056

0.062,0.052000000000000005

0.064,0.052000000000000005

0.066,0.056

0.068,0.056

0.07,0.056

0.07200000000000001,0.056

0.074,0.056

0.076,0.06

0.078,0.056

0.08,0.056

0.082,0.06

0.084,0.056

0.08600000000000001,0.06

0.088,0.06

0.09,0.056

0.092,0.056

0.094,0.056

0.096,0.056

0.098,0.056

0.1,0.056

0.10200000000000001,0.06

0.10400000000000001,0.06

0.106,0.052000000000000005

0.108,0.056

0.11,0.056

0.112,0.056

0.114,0.056

0.116,0.052000000000000005

0.11800000000000001,0.056

0.12,0.056

0.122,0.06

0.124,0.056

0.126,0.056

0.128,0.056

0.13,0.056

0.132,0.06

0.134,0.06

0.136,0.056

0.138,0.056

0.14,0.056

0.14200000000000002,0.056

0.14400000000000002,0.056

0.146,0.056

0.148,0.06

0.15,0.06

0.152,0.06

0.154,0.06

0.156,0.06

0.158,0.06

0.16,0.06

0.162,0.056

0.164,0.06

0.166,0.056

0.168,0.06

0.17,0.056

0.17200000000000001,0.06

0.17400000000000002,0.056

0.176,0.056

0.178,0.06

0.18,0.064

0.182,0.056

0.184,0.056

0.186,0.056

0.188,0.056

0.19,0.06

0.192,0.064

0.194,0.06

0.196,0.056

0.198,0.064

0.2,0.06

0.202,0.06

0.20400000000000001,0.056

0.20600000000000002,0.056

0.20800000000000002,0.06

0.21,0.06

0.212,0.06

0.214,0.056

0.216,0.056

0.218,0.06

0.22,0.06

0.222,0.06

0.224,0.064

0.226,0.06

0.228,0.06

0.23,0.064

0.232,0.06

0.234,0.064

0.23600000000000002,0.06

0.23800000000000002,0.056

0.24,0.06

0.242,0.056

0.244,0.06

0.246,0.06

0.248,0.06

0.25,0.056

0.252,0.06

0.254,0.06

0.256,0.056

0.258,0.06

0.26,0.064

0.262,0.06

0.264,0.056

0.266,0.06

0.268,0.064

0.27,0.064

0.272,0.064

0.274,0.06

0.276,0.06

0.278,0.064

0.28,0.06

0.28200000000000003,0.06

0.28400000000000003,0.06

0.28600000000000003,0.064

0.28800000000000003,0.06

0.29,0.06

0.292,0.056

0.294,0.056

0.296,0.06

0.298,0.06

0.3,0.064

0.302,0.06

0.304,0.06

0.306,0.068

0.308,0.064

0.31,0.06

0.312,0.064

0.314,0.064

0.316,0.06

0.318,0.064

0.32,0.064

0.322,0.064

0.324,0.064

0.326,0.064

0.328,0.064

0.33,0.068

0.332,0.06

0.334,0.064

0.336,0.064

0.338,0.06

0.34,0.068

0.342,0.064

0.34400000000000003,0.068

0.34600000000000003,0.06

0.34800000000000003,0.068

0.35000000000000003,0.068

0.352,0.064

0.354,0.06

0.356,0.06

0.358,0.064

0.36,0.064

0.362,0.064

0.364,0.064

0.366,0.064

0.368,0.064

0.37,0.064

0.372,0.06

0.374,0.07200000000000001

0.376,0.068

0.378,0.064

0.38,0.064

0.382,0.064

0.384,0.064

0.386,0.064

0.388,0.068

0.39,0.064

0.392,0.068

0.394,0.064

0.396,0.064

0.398,0.068

0.4,0.064

0.402,0.064

0.404,0.064

0.406,0.07200000000000001

0.40800000000000003,0.064

0.41000000000000003,0.068

0.41200000000000003,0.06

0.41400000000000003,0.068

0.41600000000000004,0.064

0.418,0.064

0.42,0.068

0.422,0.068

0.424,0.068

0.426,0.068

0.428,0.068

0.43,0.068

0.432,0.068

0.434,0.068

0.436,0.064

0.438,0.068

0.44,0.064

0.442,0.064

0.444,0.064

0.446,0.068

0.448,0.064

0.45,0.064

0.452,0.068

0.454,0.06

0.456,0.064

0.458,0.068

0.46,0.068

0.462,0.064

0.464,0.068

0.466,0.064

0.468,0.07200000000000001

0.47000000000000003,0.07200000000000001

0.47200000000000003,0.068

0.47400000000000003,0.068

0.47600000000000003,0.064

0.47800000000000004,0.064

0.48,0.064

0.482,0.068

0.484,0.068

0.486,0.068

0.488,0.068

0.49,0.064

0.492,0.068

0.494,0.068

0.496,0.068

0.498,0.068

0.5,0.068

0.502,0.064

0.504,0.068

0.506,0.068

0.508,0.068

0.51,0.068

0.512,0.068

0.514,0.068

0.516,0.07200000000000001

0.518,0.07200000000000001

0.52,0.068
