####### Preamble ##########################
#	byt_nr=1
#	bit_nr=8
#	encdg=BIN
#	bn_fmt=RI
#	byt_or=MSB
#	nr_pt=10000
#	wfid="Ch1, DC coupling, 5.0E0 V/div, 2.0E-1 s/div, 10000 points, Sample mode"
#	pt_fmt=Y
#	xincr=2.0E-4
#	pt_off=0
#	xzero=-1.0E0
#	xunit="s"
#	ymult=2.0E-1
#	yzero=0.0E0
#	yoff=5.7E1
#	yunit="V"
#######  Cursor ##########################
#VBA;IND;"s";-7.36E-1;-8.04E-1;5.0E0;6.8E-2;CURSOR1;-4.8E0;2.0E-1;8.8E0;-8.0E0;1.68E1;CURSOR1;"V";CURSOR1;CURSOR1X;-3.24E1;-2.08E1;9.6E0;4.32E1;RECT;0.0E0;0.0E0;0.0E0;0.0E0;0.0E0;0.0E0;9.9E37;9.9E37;9.9E37;9.9E37;9.9E37;9.9E37;9.9E37;9.9E37;9.9E37;9.9E37;9.9E37;9.9E37
#######  Data ##########################
#RIB;REF1;CH1;1;10000;1
# Delete the above lines to open in excel ######

Time [s],volts [V]
0.0,64.0
0.0002,67.6
0.0004,66.8
0.0006000000000000001,66.6
0.0008,66.6
0.001,66.6
0.0012000000000000001,66.6
0.0014,68.6
0.0016,68.4
0.0018000000000000002,68.6
0.002,68.4
0.0022,68.4
0.0024000000000000002,68.4
0.0026000000000000003,68.2
0.0028,68.2
0.003,68.4
0.0032,68.2
0.0034000000000000002,68.2
0.0036000000000000003,68.2
0.0038,68.2
0.004,68.0
0.004200000000000001,68.0
0.0044,68.0
0.0046,68.0
0.0048000000000000004,68.0
0.005,67.8
0.005200000000000001,67.8
0.0054,68.0
0.0056,67.8
0.0058000000000000005,67.8
0.006,67.8
0.006200000000000001,67.6
0.0064,67.8
0.0066,67.6
0.0068000000000000005,67.6
0.007,67.4
0.007200000000000001,67.6
0.0074,67.6
0.0076,67.4
0.0078000000000000005,67.4
0.008,67.4
0.0082,67.4
0.008400000000000001,67.4
0.0086,67.4
0.0088,67.4
0.009000000000000001,67.4
0.0092,67.2
0.0094,67.2
0.009600000000000001,67.2
0.0098,67.2
0.01,67.2
0.0102,67.0
