####### Preamble ##########################
#	byt_nr=1
#	bit_nr=8
#	encdg=BIN
#	bn_fmt=RI
#	byt_or=MSB
#	nr_pt=10000
#	wfid="Ch1, DC coupling, 5.0E0 V/div, 1.0E0 s/div, 10000 points, Sample mode"
#	pt_fmt=Y
#	xincr=1.0E-3
#	pt_off=0
#	xzero=-5.0E0
#	xunit="s"
#	ymult=2.0E-1
#	yzero=0.0E0
#	yoff=5.7E1
#	yunit="V"
#######  Cursor ##########################
#VBA;IND;"s";-3.68E0;-4.02E0;4.0E-1;3.4E-1;CURSOR1;-5.4E0;-5.0E0;8.8E0;-8.0E0;1.68E1;CURSOR1;"V";CURSOR1;CURSOR1X;-3.24E1;-2.08E1;9.6E0;4.32E1;RECT;0.0E0;0.0E0;0.0E0;0.0E0;0.0E0;0.0E0;9.9E37;9.9E37;9.9E37;9.9E37;9.9E37;9.9E37;9.9E37;9.9E37;9.9E37;9.9E37;9.9E37;9.9E37
#######  Data ##########################
#RIB;REF1;CH1;1;10000;1
# Delete the above lines to open in excel ######

Time [s],volts [V]
0.0,64.0
0.001,67.6
0.002,66.8
0.003,66.6
0.004,66.6
0.005,66.6
0.006,66.6
0.007,65.2
0.008,65.2
0.009000000000000001,65.2
0.01,65.2
0.011,65.0
0.012,65.2
0.013000000000000001,65.0
0.014,65.0
0.015,65.0
0.016,65.2
0.017,65.2
0.018000000000000002,65.2
0.019,64.8
0.02,65.2
0.021,65.2
0.022,65.2
0.023,65.2
0.024,65.0
0.025,65.0
0.026000000000000002,65.0
0.027,65.0
0.028,65.0
0.029,65.0
0.03,65.0
0.031,64.8
0.032,65.0
0.033,65.0
0.034,64.8
0.035,65.0
0.036000000000000004,65.0
0.037,65.0
0.038,64.8
0.039,65.0
0.04,64.8
0.041,64.8
0.042,65.0
0.043000000000000003,65.0
0.044,64.8
0.045,64.8
0.046,65.0
0.047,64.8
0.048,64.6
0.049,64.8
0.05,64.8
0.051000000000000004,64.6
0.052000000000000005,65.0
0.053,64.8
0.054,64.8
0.055,64.8
0.056,65.0
0.057,64.8
0.058,64.8
0.059000000000000004,65.0
0.06,64.8
0.061,64.8
0.062,64.8
0.063,64.8
0.064,64.8
0.065,64.8
0.066,64.8
0.067,64.8
0.068,64.6
0.069,64.8
0.07,64.6
0.07100000000000001,64.8
0.07200000000000001,64.8
0.073,64.8
0.074,64.8
0.075,64.6
0.076,64.8
0.077,64.6
0.078,64.8
0.079,64.6
0.08,64.8
0.081,64.6
0.082,64.8
0.083,64.6
0.084,64.8
0.085,64.6
0.08600000000000001,64.8
0.08700000000000001,64.8
0.088,64.8
0.089,64.6
0.09,64.6
0.091,64.8
0.092,64.8
0.093,64.6
0.094,64.6
0.095,64.6
0.096,64.6
0.097,64.6
0.098,64.4
0.099,64.4
0.1,64.4
0.101,64.6
0.10200000000000001,64.6
0.10300000000000001,64.8
0.10400000000000001,64.6
0.105,64.6
0.106,64.6
0.107,64.6
0.108,64.6
0.109,64.6
0.11,64.6
0.111,64.6
0.112,64.4
0.113,64.6
0.114,64.4
0.115,64.4
0.116,64.4
0.117,64.6
0.11800000000000001,64.4
0.11900000000000001,64.4
0.12,64.4
0.121,64.8
0.122,64.6
0.123,64.6
0.124,64.4
0.125,64.2
0.126,64.4
0.127,64.4
0.128,64.4
0.129,64.4
0.13,64.4
0.131,64.4
0.132,64.4
0.133,64.4
0.134,64.6
0.135,64.6
0.136,64.4
0.137,64.4
0.138,64.4
0.139,64.6
0.14,64.2
0.14100000000000001,64.6
0.14200000000000002,64.4
0.14300000000000002,64.4
0.14400000000000002,64.6
0.145,64.4
0.146,64.4
0.147,64.2
0.148,64.6
0.149,64.2
0.15,64.4
0.151,64.6
0.152,64.2
0.153,64.4
0.154,64.4
0.155,64.6
0.156,64.2
0.157,64.6
0.158,64.4
0.159,64.2
0.16,64.2
0.161,64.4
0.162,64.4
0.163,64.2
0.164,64.4
0.165,64.4
0.166,64.2
0.167,64.4
0.168,64.4
0.169,64.2
0.17,64.4
0.171,64.2
0.17200000000000001,64.2
0.17300000000000001,64.4
0.17400000000000002,64.2
0.17500000000000002,64.2
0.176,64.4
0.177,64.2
0.178,64.2
0.179,64.2
0.18,64.2
0.181,64.4
0.182,64.2
0.183,64.4
0.184,64.2
0.185,64.4
0.186,64.4
0.187,64.2
0.188,64.2
0.189,64.2
0.19,64.2
0.191,64.4
0.192,64.2
0.193,64.2
0.194,64.4
0.195,64.2
0.196,64.2
0.197,64.0
0.198,64.0
0.199,64.0
0.2,64.0
0.201,64.2
0.202,64.2
0.203,64.2
0.20400000000000001,64.0
0.20500000000000002,64.4
0.20600000000000002,64.2
0.20700000000000002,64.2
0.20800000000000002,64.2
0.209,64.0
0.21,64.2
0.211,64.0
0.212,64.0
0.213,64.2
0.214,64.2
0.215,64.2
0.216,64.2
0.217,64.0
0.218,64.0
0.219,64.0
0.22,64.2
0.221,64.2
0.222,64.2
0.223,63.8
0.224,64.0
0.225,64.0
0.226,64.2
0.227,64.2
0.228,64.0
0.229,64.2
0.23,64.2
0.231,64.0
0.232,64.0
0.233,64.0
0.234,64.2
0.23500000000000001,64.2
0.23600000000000002,64.2
0.23700000000000002,64.2
0.23800000000000002,64.0
0.23900000000000002,64.0
0.24,64.2
0.241,64.0
0.242,64.2
0.243,64.2
0.244,64.2
0.245,63.8
0.246,63.8
0.247,64.2
0.248,64.0
0.249,64.0
0.25,64.2
0.251,64.0
0.252,64.0
0.253,64.2
0.254,64.2
0.255,64.0
0.256,64.2
0.257,64.0
0.258,63.8
0.259,64.0
0.26,64.0
0.261,64.2
0.262,64.0
0.263,64.2
0.264,64.2
0.265,63.8
0.266,64.2
0.267,64.2
0.268,64.0
0.269,64.0
0.27,64.2
0.271,64.0
0.272,64.0
0.273,63.8
0.274,64.0
0.275,63.8
0.276,64.2
0.277,64.0
0.278,64.0
0.279,64.0
0.28,64.0
0.281,63.8
0.28200000000000003,63.8
0.28300000000000003,64.2
0.28400000000000003,64.0
0.28500000000000003,64.0
0.28600000000000003,64.0
0.28700000000000003,63.8
0.28800000000000003,63.6
0.289,64.0
