####### Preamble ##########################
#	byt_nr=1
#	bit_nr=8
#	encdg=BIN
#	bn_fmt=RI
#	byt_or=MSB
#	nr_pt=10000
#	wfid="Ch2, DC coupling, 1.0E1 V/div, 1.0E0 s/div, 10000 points, Sample mode"
#	pt_fmt=Y
#	xincr=1.0E-3
#	pt_off=0
#	xzero=-5.0E0
#	xunit="s"
#	ymult=4.0E-1
#	yzero=0.0E0
#	yoff=-2.8E1
#	yunit="V"
#######  Cursor ##########################
#VBA;IND;"s";-3.68E0;-4.02E0;6.0E-1;3.4E-1;CURSOR1;-5.6E0;-5.0E0;8.8E0;-8.0E0;1.68E1;CURSOR1;"V";CURSOR1;CURSOR1X;-3.24E1;-2.08E1;9.6E0;4.32E1;RECT;0.0E0;0.0E0;0.0E0;0.0E0;0.0E0;0.0E0;9.9E37;9.9E37;9.9E37;9.9E37;9.9E37;9.9E37;9.9E37;9.9E37;9.9E37;9.9E37;9.9E37;9.9E37
#######  Data ##########################
#RIB;REF1;CH2;1;10000;1
# Delete the above lines to open in excel ######

Time [s],volts [V]
0.0,-14.0
0.001,-6.799999999999997
0.002,-8.399999999999999
0.003,-8.799999999999997
0.004,-8.799999999999997
0.005,-8.799999999999997
0.006,-8.799999999999997
0.007,-44.400000000000006
0.008,-44.8
0.009000000000000001,-44.400000000000006
0.01,-44.8
0.011,-44.8
0.012,-45.2
0.013000000000000001,-44.8
0.014,-44.400000000000006
0.015,-44.8
0.016,-44.400000000000006
0.017,-44.8
0.018000000000000002,-44.8
0.019,-44.8
0.02,-44.8
0.021,-44.8
0.022,-44.400000000000006
0.023,-44.8
0.024,-44.8
0.025,-44.8
0.026000000000000002,-44.8
0.027,-45.2
0.028,-44.8
0.029,-44.8
0.03,-44.8
0.031,-44.8
0.032,-44.400000000000006
0.033,-44.400000000000006
0.034,-44.400000000000006
0.035,-44.8
0.036000000000000004,-44.400000000000006
0.037,-44.8
0.038,-44.8
0.039,-44.8
0.04,-45.2
0.041,-44.8
0.042,-44.8
0.043000000000000003,-44.8
0.044,-44.8
0.045,-45.2
0.046,-44.8
0.047,-44.8
0.048,-44.8
0.049,-44.8
0.05,-44.8
0.051000000000000004,-44.8
0.052000000000000005,-44.8
0.053,-44.8
0.054,-44.8
0.055,-44.8
0.056,-44.400000000000006
0.057,-44.8
0.058,-44.8
0.059000000000000004,-44.8
0.06,-44.8
0.061,-44.8
0.062,-44.8
0.063,-44.8
0.064,-44.8
0.065,-44.8
0.066,-44.8
0.067,-44.8
0.068,-44.400000000000006
0.069,-44.400000000000006
0.07,-44.8
0.07100000000000001,-44.400000000000006
0.07200000000000001,-44.8
0.073,-44.8
0.074,-44.8
0.075,-45.2
0.076,-44.400000000000006
0.077,-44.8
0.078,-44.8
0.079,-44.400000000000006
0.08,-44.0
0.081,-44.8
0.082,-44.8
0.083,-44.8
0.084,-44.8
0.085,-44.8
0.08600000000000001,-45.2
0.08700000000000001,-44.400000000000006
0.088,-44.8
0.089,-44.8
0.09,-45.2
0.091,-44.8
0.092,-45.2
0.093,-45.2
0.094,-44.8
0.095,-44.8
0.096,-45.2
0.097,-44.8
0.098,-44.8
0.099,-44.8
0.1,-44.8
0.101,-44.8
0.10200000000000001,-44.400000000000006
0.10300000000000001,-44.8
0.10400000000000001,-45.2
0.105,-44.8
0.106,-44.400000000000006
0.107,-45.2
0.108,-44.400000000000006
0.109,-45.2
0.11,-45.2
0.111,-44.8
0.112,-44.8
0.113,-44.8
0.114,-44.8
0.115,-45.2
0.116,-44.8
0.117,-44.8
0.11800000000000001,-44.8
0.11900000000000001,-44.8
0.12,-44.8
0.121,-44.8
0.122,-44.8
0.123,-44.400000000000006
0.124,-44.8
0.125,-44.8
0.126,-44.8
0.127,-44.8
0.128,-45.2
0.129,-44.8
0.13,-44.8
0.131,-44.400000000000006
0.132,-44.8
0.133,-45.2
0.134,-44.8
0.135,-44.8
0.136,-45.2
0.137,-44.8
0.138,-44.400000000000006
0.139,-44.8
0.14,-44.8
0.14100000000000001,-44.8
0.14200000000000002,-44.8
0.14300000000000002,-45.2
0.14400000000000002,-44.8
0.145,-44.8
0.146,-44.8
0.147,-44.8
0.148,-44.8
0.149,-44.8
0.15,-44.8
0.151,-44.8
0.152,-44.8
0.153,-44.8
0.154,-44.8
0.155,-44.8
0.156,-44.8
0.157,-45.2
0.158,-44.8
0.159,-44.400000000000006
0.16,-44.8
0.161,-44.8
0.162,-44.8
0.163,-44.8
0.164,-44.400000000000006
0.165,-44.8
0.166,-44.8
0.167,-44.8
0.168,-44.8
0.169,-44.8
0.17,-44.8
0.171,-44.8
0.17200000000000001,-44.400000000000006
0.17300000000000001,-44.8
0.17400000000000002,-44.8
0.17500000000000002,-44.8
0.176,-44.8
0.177,-44.8
0.178,-44.400000000000006
0.179,-44.400000000000006
0.18,-44.8
0.181,-44.8
0.182,-44.8
0.183,-45.2
0.184,-44.8
0.185,-44.400000000000006
0.186,-44.8
0.187,-44.8
0.188,-45.2
0.189,-44.8
0.19,-44.8
0.191,-44.8
0.192,-44.8
0.193,-44.8
0.194,-44.8
0.195,-44.8
0.196,-44.8
0.197,-44.8
0.198,-45.2
0.199,-45.2
0.2,-44.8
0.201,-44.8
0.202,-45.2
0.203,-45.2
0.20400000000000001,-44.8
0.20500000000000002,-44.8
0.20600000000000002,-44.8
0.20700000000000002,-44.400000000000006
0.20800000000000002,-45.2
0.209,-45.2
0.21,-44.8
0.211,-44.8
0.212,-44.8
0.213,-44.8
0.214,-44.8
0.215,-44.8
0.216,-44.8
0.217,-44.8
0.218,-44.8
0.219,-45.2
0.22,-44.8
0.221,-44.8
0.222,-45.2
0.223,-44.8
0.224,-45.2
0.225,-45.2
0.226,-44.8
0.227,-44.8
0.228,-44.8
0.229,-44.8
0.23,-44.8
0.231,-44.8
0.232,-44.8
0.233,-44.8
0.234,-44.8
0.23500000000000001,-45.2
0.23600000000000002,-45.2
0.23700000000000002,-44.8
0.23800000000000002,-45.2
0.23900000000000002,-44.8
0.24,-44.8
0.241,-44.8
0.242,-45.2
0.243,-44.8
0.244,-44.8
0.245,-44.8
0.246,-44.400000000000006
0.247,-44.8
0.248,-45.2
0.249,-44.8
0.25,-44.8
0.251,-44.8
0.252,-44.8
0.253,-44.8
0.254,-45.2
0.255,-44.8
0.256,-44.8
0.257,-45.2
0.258,-44.8
0.259,-44.8
0.26,-44.8
0.261,-44.8
0.262,-44.8
0.263,-44.8
0.264,-45.2
0.265,-44.8
0.266,-44.8
0.267,-45.2
0.268,-44.8
0.269,-44.8
0.27,-44.8
0.271,-44.8
0.272,-44.8
0.273,-44.8
0.274,-44.8
0.275,-44.400000000000006
0.276,-44.8
0.277,-44.400000000000006
0.278,-44.8
0.279,-44.8
0.28,-44.8
0.281,-44.8
0.28200000000000003,-44.8
0.28300000000000003,-44.8
0.28400000000000003,-44.8
0.28500000000000003,-45.2
0.28600000000000003,-44.8
0.28700000000000003,-44.8
0.28800000000000003,-44.8
0.289,-44.8
0.29,-44.8
0.291,-44.8
0.292,-44.8
0.293,-44.8
0.294,-44.8
0.295,-44.8
0.296,-44.8
0.297,-44.8
0.298,-44.8
0.299,-44.8
0.3,-44.8
0.301,-45.2
0.302,-44.8
0.303,-44.8
0.304,-44.8
0.305,-44.8
0.306,-44.8
0.307,-45.2
0.308,-45.2
0.309,-44.8
0.31,-44.8
0.311,-44.8
0.312,-45.2
0.313,-44.8
0.314,-44.8
0.315,-44.8
0.316,-44.8
0.317,-44.8
0.318,-44.8
0.319,-44.8
0.32,-44.8
0.321,-44.8
0.322,-44.8
0.323,-45.2
0.324,-45.2
0.325,-44.8
0.326,-44.400000000000006
0.327,-45.2
0.328,-44.8
0.329,-44.8
0.33,-44.8
0.331,-44.8
0.332,-44.8
0.333,-44.8
0.334,-45.2
0.335,-44.8
0.336,-44.8
0.337,-44.8
0.338,-44.8
0.339,-44.8
0.34,-44.8
0.341,-44.8
0.342,-44.8
0.343,-44.8
0.34400000000000003,-44.8
0.34500000000000003,-44.8
0.34600000000000003,-44.8
0.34700000000000003,-44.8
0.34800000000000003,-44.8
0.34900000000000003,-44.8
0.35000000000000003,-44.8
0.35100000000000003,-44.8
0.352,-44.8
0.353,-44.8
0.354,-44.8
0.355,-45.2
0.356,-44.8
0.357,-44.8
0.358,-45.2
0.359,-44.8
