####### Preamble ##########################
#	byt_nr=1
#	bit_nr=8
#	encdg=BIN
#	bn_fmt=RI
#	byt_or=MSB
#	nr_pt=10000
#	wfid="Ch1, DC coupling, 5.0E0 V/div, 1.0E0 s/div, 10000 points, Sample mode"
#	pt_fmt=Y
#	xincr=1.0E-3
#	pt_off=0
#	xzero=-5.0E0
#	xunit="s"
#	ymult=2.0E-1
#	yzero=0.0E0
#	yoff=5.7E1
#	yunit="V"
#######  Cursor ##########################
#VBA;IND;"s";-3.68E0;-4.02E0;4.0E0;3.4E-1;CURSOR1;1.6E0;-2.4E0;8.8E0;-8.0E0;1.68E1;CURSOR1;"V";CURSOR1;CURSOR1X;-3.24E1;-2.08E1;9.6E0;4.32E1;RECT;0.0E0;0.0E0;0.0E0;0.0E0;0.0E0;0.0E0;9.9E37;9.9E37;9.9E37;9.9E37;9.9E37;9.9E37;9.9E37;9.9E37;9.9E37;9.9E37;9.9E37;9.9E37
#######  Data ##########################
#RIB;REF1;CH1;1;10000;1
# Delete the above lines to open in excel ######

Time [s],volts [V]
0.0,64.0
0.001,67.6
0.002,66.8
0.003,66.6
0.004,66.6
0.005,66.6
0.006,66.6
0.007,67.4
0.008,67.4
0.009000000000000001,67.4
0.01,67.4
0.011,67.4
0.012,67.6
0.013000000000000001,67.4
0.014,67.2
0.015,67.6
0.016,67.6
0.017,67.4
0.018000000000000002,67.4
0.019,67.6
0.02,67.6
0.021,67.6
0.022,67.8
0.023,67.6
0.024,67.6
0.025,67.6
0.026000000000000002,67.6
0.027,67.8
0.028,67.6
0.029,67.8
0.03,67.6
0.031,67.6
0.032,67.8
0.033,67.6
0.034,67.8
0.035,67.8
0.036000000000000004,67.8
0.037,67.6
0.038,67.6
0.039,67.8
0.04,67.8
0.041,67.6
0.042,67.8
0.043000000000000003,67.8
0.044,67.8
0.045,68.0
0.046,68.0
0.047,68.0
0.048,68.0
0.049,67.8
0.05,68.0
0.051000000000000004,67.8
0.052000000000000005,68.2
0.053,68.0
0.054,68.0
0.055,68.0
0.056,67.8
0.057,68.0
0.058,68.0
0.059000000000000004,68.0
0.06,68.0
0.061,68.2
0.062,68.0
0.063,68.2
0.064,68.0
0.065,68.0
0.066,68.0
0.067,68.2
0.068,68.2
0.069,68.2
0.07,68.2
0.07100000000000001,68.2
0.07200000000000001,68.2
0.073,68.2
0.074,68.2
0.075,68.2
0.076,68.2
0.077,68.2
0.078,68.2
0.079,68.4
0.08,68.4
0.081,68.4
0.082,68.4
0.083,68.2
0.084,68.2
0.085,68.4
0.08600000000000001,68.6
0.08700000000000001,68.6
0.088,68.6
0.089,68.4
0.09,68.4
0.091,68.4
0.092,68.6
0.093,68.2
0.094,68.4
0.095,68.4
0.096,68.4
0.097,68.6
0.098,68.6
0.099,68.6
0.1,68.6
0.101,68.4
0.10200000000000001,68.6
0.10300000000000001,68.8
0.10400000000000001,68.6
0.105,68.8
0.106,68.6
0.107,68.8
0.108,68.8
0.109,68.8
0.11,68.8
0.111,68.6
0.112,68.6
0.113,68.8
0.114,68.8
0.115,68.6
0.116,68.8
0.117,68.8
0.11800000000000001,68.8
0.11900000000000001,68.8
0.12,68.8
0.121,69.0
0.122,69.0
0.123,68.8
0.124,69.2
0.125,69.0
0.126,68.8
0.127,69.0
0.128,69.0
0.129,69.0
0.13,68.8
0.131,68.8
0.132,69.0
0.133,69.2
0.134,69.2
0.135,69.0
0.136,69.0
0.137,69.2
0.138,69.2
0.139,69.4
0.14,69.0
0.14100000000000001,69.2
0.14200000000000002,69.0
0.14300000000000002,69.0
0.14400000000000002,69.0
0.145,69.2
0.146,69.4
0.147,69.2
0.148,69.2
0.149,69.0
0.15,69.2
0.151,69.0
0.152,69.2
0.153,69.2
0.154,69.4
0.155,69.4
0.156,69.2
0.157,69.4
0.158,69.6
0.159,69.2
0.16,69.4
0.161,69.4
0.162,69.4
0.163,69.4
0.164,69.6
0.165,69.6
0.166,69.4
0.167,69.4
0.168,69.4
0.169,69.6
0.17,69.6
0.171,69.6
0.17200000000000001,69.6
0.17300000000000001,69.6
0.17400000000000002,69.6
0.17500000000000002,69.6
0.176,69.6
0.177,69.8
0.178,69.8
0.179,69.8
0.18,69.8
0.181,69.8
0.182,69.6
0.183,69.8
0.184,69.6
0.185,69.8
0.186,69.8
0.187,69.8
0.188,69.8
0.189,69.6
0.19,69.8
0.191,69.8
0.192,69.8
0.193,70.0
0.194,70.0
0.195,69.6
0.196,70.0
0.197,70.0
0.198,69.8
0.199,70.0
0.2,70.0
0.201,69.8
0.202,69.8
0.203,70.0
0.20400000000000001,70.2
0.20500000000000002,70.0
0.20600000000000002,70.2
0.20700000000000002,70.0
0.20800000000000002,70.0
0.209,70.4
0.21,70.2
0.211,70.0
0.212,70.2
0.213,70.2
0.214,70.4
0.215,70.2
0.216,70.0
0.217,70.0
0.218,70.2
0.219,70.2
0.22,70.2
0.221,70.4
0.222,70.4
0.223,70.4
0.224,70.2
0.225,70.4
0.226,70.4
0.227,70.4
0.228,70.4
0.229,70.2
0.23,70.2
0.231,70.2
0.232,70.6
0.233,70.4
0.234,70.2
0.23500000000000001,70.2
0.23600000000000002,70.4
0.23700000000000002,70.4
0.23800000000000002,70.6
0.23900000000000002,70.6
0.24,70.4
0.241,70.4
0.242,70.4
0.243,70.6
0.244,70.6
0.245,70.4
0.246,70.2
0.247,70.6
0.248,70.6
0.249,70.6
0.25,70.8
0.251,70.4
0.252,70.6
0.253,70.6
0.254,70.4
0.255,70.4
0.256,70.8
0.257,70.6
0.258,70.8
0.259,70.6
0.26,70.6
0.261,70.8
0.262,70.8
0.263,70.8
0.264,70.8
0.265,70.8
0.266,70.8
0.267,70.8
0.268,71.0
0.269,70.6
0.27,70.8
0.271,70.8
0.272,70.8
0.273,70.8
0.274,70.6
0.275,71.0
0.276,70.8
0.277,71.0
0.278,71.0
0.279,71.0
0.28,71.0
0.281,70.8
0.28200000000000003,71.0
0.28300000000000003,70.8
0.28400000000000003,71.0
0.28500000000000003,71.0
0.28600000000000003,71.0
0.28700000000000003,71.0
0.28800000000000003,70.8
0.289,71.0
0.29,71.0
