####### Preamble ##########################
#	byt_nr=1
#	bit_nr=8
#	encdg=BIN
#	bn_fmt=RI
#	byt_or=MSB
#	nr_pt=10000
#	wfid="Ch1, DC coupling, 5.0E0 V/div, 1.0E0 s/div, 10000 points, Sample mode"
#	pt_fmt=Y
#	xincr=1.0E-3
#	pt_off=0
#	xzero=-5.0E0
#	xunit="s"
#	ymult=2.0E-1
#	yzero=0.0E0
#	yoff=5.7E1
#	yunit="V"
#######  Cursor ##########################
#VBA;IND;"s";-3.68E0;-4.02E0;1.4E0;3.4E-1;CURSOR1;-3.8E0;-5.2E0;8.8E0;-8.0E0;1.68E1;CURSOR1;"V";CURSOR1;CURSOR1X;-3.24E1;-2.08E1;9.6E0;4.32E1;RECT;0.0E0;0.0E0;0.0E0;0.0E0;0.0E0;0.0E0;9.9E37;9.9E37;9.9E37;9.9E37;9.9E37;9.9E37;9.9E37;9.9E37;9.9E37;9.9E37;9.9E37;9.9E37
#######  Data ##########################
#RIB;REF1;CH1;1;10000;1
# Delete the above lines to open in excel ######

Time [s],volts [V]
0.0,64.0
0.001,67.6
0.002,66.8
0.003,66.6
0.004,66.6
0.005,66.6
0.006,66.6
0.007,64.2
0.008,64.0
0.009000000000000001,64.0
0.01,63.8
0.011,64.0
0.012,64.0
0.013000000000000001,63.8
0.014,64.0
0.015,63.8
0.016,63.6
0.017,64.0
0.018000000000000002,64.0
0.019,63.8
0.02,63.8
0.021,64.0
0.022,64.0
0.023,63.8
0.024,64.0
0.025,63.6
0.026000000000000002,63.8
0.027,63.6
0.028,63.8
0.029,63.8
0.03,64.0
0.031,63.8
0.032,63.8
0.033,63.8
0.034,63.8
0.035,64.0
0.036000000000000004,63.8
0.037,64.0
0.038,63.8
0.039,63.8
0.04,63.8
0.041,64.0
0.042,63.8
0.043000000000000003,63.8
0.044,63.6
0.045,63.6
0.046,63.8
0.047,63.8
0.048,63.8
0.049,63.8
0.05,63.6
0.051000000000000004,63.6
0.052000000000000005,63.8
0.053,63.8
0.054,63.8
0.055,63.8
0.056,64.0
0.057,63.6
0.058,64.0
0.059000000000000004,63.8
0.06,63.8
0.061,63.8
0.062,63.8
0.063,64.0
0.064,63.8
0.065,63.8
0.066,63.8
0.067,63.8
0.068,63.8
0.069,63.8
0.07,63.8
0.07100000000000001,64.0
0.07200000000000001,63.8
0.073,63.8
0.074,64.0
0.075,63.6
0.076,63.6
0.077,63.8
0.078,64.0
0.079,63.8
0.08,63.8
0.081,63.8
0.082,63.8
0.083,64.0
0.084,64.0
0.085,63.8
0.08600000000000001,63.8
0.08700000000000001,63.8
0.088,64.2
0.089,63.8
0.09,64.2
0.091,64.2
0.092,63.8
0.093,64.2
0.094,64.2
0.095,64.0
0.096,64.0
0.097,64.0
0.098,64.0
0.099,64.2
0.1,63.6
0.101,64.2
0.10200000000000001,63.8
0.10300000000000001,64.2
0.10400000000000001,64.0
0.105,64.0
0.106,64.2
0.107,64.2
0.108,64.0
0.109,64.2
0.11,64.2
0.111,64.4
0.112,64.2
0.113,64.2
0.114,64.0
0.115,64.0
0.116,64.2
0.117,64.2
0.11800000000000001,64.0
0.11900000000000001,64.2
0.12,64.0
0.121,64.2
0.122,64.2
0.123,64.2
0.124,64.2
0.125,64.2
0.126,64.2
0.127,64.2
0.128,64.2
0.129,64.2
0.13,64.0
0.131,64.2
0.132,64.4
0.133,64.4
0.134,64.4
0.135,64.2
0.136,64.2
0.137,64.4
0.138,64.2
0.139,64.2
0.14,64.4
0.14100000000000001,64.4
0.14200000000000002,64.4
0.14300000000000002,64.2
0.14400000000000002,64.2
0.145,64.4
0.146,64.4
0.147,64.4
0.148,64.4
0.149,64.4
0.15,64.4
0.151,64.4
0.152,64.6
0.153,64.4
0.154,64.4
0.155,64.6
0.156,64.6
0.157,64.6
0.158,64.4
0.159,64.6
0.16,64.6
0.161,64.6
0.162,64.6
0.163,64.8
0.164,64.6
0.165,64.4
0.166,64.6
0.167,64.6
0.168,64.6
0.169,64.8
0.17,64.8
0.171,64.6
0.17200000000000001,64.6
0.17300000000000001,64.8
0.17400000000000002,64.8
0.17500000000000002,64.6
0.176,65.0
0.177,64.8
0.178,64.8
0.179,64.8
0.18,65.0
0.181,64.8
0.182,64.8
0.183,64.6
0.184,64.8
0.185,64.8
0.186,64.6
0.187,64.8
0.188,64.8
0.189,64.8
0.19,65.0
0.191,65.0
0.192,65.2
0.193,65.0
0.194,65.2
0.195,65.0
0.196,65.2
0.197,65.2
0.198,65.4
0.199,65.0
0.2,65.0
0.201,65.2
0.202,65.4
0.203,65.0
0.20400000000000001,65.4
0.20500000000000002,65.2
0.20600000000000002,65.4
0.20700000000000002,65.2
0.20800000000000002,65.2
0.209,65.4
0.21,65.4
0.211,65.4
0.212,65.2
0.213,65.0
0.214,65.2
0.215,65.6
0.216,65.6
0.217,65.2
0.218,65.4
0.219,65.6
0.22,65.4
0.221,65.6
0.222,65.6
0.223,65.6
0.224,65.4
0.225,65.6
0.226,65.8
0.227,65.8
0.228,65.8
0.229,65.6
0.23,65.8
0.231,65.8
0.232,65.8
0.233,66.0
0.234,65.6
0.23500000000000001,66.0
0.23600000000000002,65.6
0.23700000000000002,65.8
0.23800000000000002,65.8
0.23900000000000002,66.0
0.24,66.0
0.241,66.0
0.242,66.0
0.243,65.8
0.244,66.0
0.245,66.2
0.246,66.2
0.247,66.2
0.248,66.2
0.249,66.0
0.25,66.2
0.251,66.2
0.252,66.0
0.253,66.0
0.254,66.2
0.255,66.4
0.256,66.2
0.257,66.2
0.258,66.4
0.259,66.4
0.26,66.4
0.261,66.4
0.262,66.4
0.263,66.4
0.264,66.4
0.265,66.4
0.266,66.4
0.267,66.6
0.268,66.6
0.269,66.8
0.27,66.6
0.271,66.8
0.272,66.6
0.273,66.6
0.274,66.6
0.275,67.0
0.276,66.6
0.277,66.8
0.278,67.0
0.279,66.8
0.28,66.8
0.281,67.0
0.28200000000000003,67.0
0.28300000000000003,66.8
0.28400000000000003,67.0
0.28500000000000003,67.2
0.28600000000000003,67.0
0.28700000000000003,67.2
0.28800000000000003,67.2
0.289,67.2
0.29,67.0
