####### Preamble ##########################
#	byt_nr=1
#	bit_nr=8
#	encdg=BIN
#	bn_fmt=RI
#	byt_or=MSB
#	nr_pt=10000
#	wfid="Ch1, DC coupling, 5.0E0 V/div, 1.0E0 s/div, 10000 points, Sample mode"
#	pt_fmt=Y
#	xincr=1.0E-3
#	pt_off=0
#	xzero=-5.0E0
#	xunit="s"
#	ymult=2.0E-1
#	yzero=0.0E0
#	yoff=5.7E1
#	yunit="V"
#######  Cursor ##########################
#VBA;IND;"s";-3.68E0;-4.02E0;7.2E0;3.4E-1;CURSOR1;-5.2E0;2.0E0;8.8E0;-8.0E0;1.68E1;CURSOR1;"V";CURSOR1;CURSOR1X;-3.24E1;-2.08E1;9.6E0;4.32E1;RECT;0.0E0;0.0E0;0.0E0;0.0E0;0.0E0;0.0E0;9.9E37;9.9E37;9.9E37;9.9E37;9.9E37;9.9E37;9.9E37;9.9E37;9.9E37;9.9E37;9.9E37;9.9E37
#######  Data ##########################
#RIB;REF1;CH1;1;10000;1
# Delete the above lines to open in excel ######

Time [s],volts [V]
0.0,64.0
0.001,67.6
0.002,66.8
0.003,66.6
0.004,66.6
0.005,66.6
0.006,66.6
0.007,69.8
0.008,69.8
0.009000000000000001,69.8
0.01,69.4
0.011,69.6
0.012,69.4
0.013000000000000001,69.4
0.014,69.4
0.015,69.4
0.016,69.2
0.017,69.2
0.018000000000000002,69.2
0.019,69.2
0.02,69.2
0.021,69.0
0.022,69.0
0.023,69.0
0.024,69.0
0.025,68.8
0.026000000000000002,69.0
0.027,68.8
0.028,68.8
0.029,68.8
0.03,68.8
0.031,68.8
0.032,68.6
0.033,68.4
0.034,68.4
0.035,68.2
0.036000000000000004,68.2
0.037,68.4
0.038,68.4
0.039,68.2
0.04,68.2
0.041,68.2
0.042,68.0
0.043000000000000003,68.0
0.044,67.8
0.045,68.0
0.046,67.8
0.047,67.8
0.048,67.8
0.049,67.8
0.05,67.8
0.051000000000000004,67.6
0.052000000000000005,67.6
0.053,67.6
0.054,67.6
0.055,67.6
0.056,67.4
0.057,67.2
0.058,67.4
0.059000000000000004,67.2
0.06,67.4
0.061,67.2
0.062,67.0
0.063,67.0
0.064,67.2
0.065,67.0
0.066,67.0
0.067,66.8
0.068,66.8
0.069,66.8
0.07,66.8
0.07100000000000001,66.6
0.07200000000000001,66.8
0.073,66.6
0.074,66.4
0.075,66.4
0.076,66.2
0.077,66.4
0.078,66.4
0.079,66.2
0.08,66.4
0.081,66.4
0.082,66.4
0.083,66.2
0.084,66.2
0.085,66.2
0.08600000000000001,65.8
0.08700000000000001,66.0
0.088,66.0
0.089,66.0
0.09,65.8
0.091,66.0
0.092,65.8
0.093,65.8
0.094,65.8
0.095,65.8
0.096,65.4
0.097,65.8
0.098,65.6
0.099,65.6
0.1,65.4
0.101,65.4
0.10200000000000001,65.6
0.10300000000000001,65.6
0.10400000000000001,65.2
0.105,65.2
0.106,65.4
0.107,65.4
0.108,65.2
0.109,65.2
0.11,65.0
0.111,65.0
0.112,64.8
0.113,65.0
0.114,65.0
0.115,64.8
0.116,64.8
0.117,64.8
0.11800000000000001,64.8
0.11900000000000001,64.6
0.12,64.8
0.121,64.8
0.122,64.8
0.123,64.6
0.124,64.8
0.125,64.6
0.126,64.4
0.127,64.6
0.128,64.6
0.129,64.6
0.13,64.6
0.131,64.4
0.132,64.2
0.133,64.4
0.134,64.4
0.135,64.4
0.136,64.2
0.137,64.4
0.138,64.2
0.139,64.2
0.14,64.2
0.14100000000000001,64.2
0.14200000000000002,64.0
0.14300000000000002,64.2
0.14400000000000002,64.4
0.145,64.0
0.146,64.0
0.147,64.0
0.148,64.2
0.149,64.0
0.15,64.2
0.151,64.2
0.152,64.0
0.153,64.2
0.154,64.2
0.155,64.0
0.156,64.2
0.157,64.2
0.158,64.2
0.159,64.2
0.16,64.0
0.161,64.2
0.162,64.0
0.163,64.0
0.164,64.0
0.165,64.2
0.166,64.0
0.167,64.0
0.168,63.8
0.169,64.0
0.17,63.8
0.171,64.0
0.17200000000000001,64.0
0.17300000000000001,64.0
0.17400000000000002,63.6
0.17500000000000002,64.0
0.176,64.0
0.177,64.0
0.178,63.8
0.179,63.8
0.18,63.8
0.181,64.0
0.182,63.8
0.183,63.6
0.184,63.8
0.185,63.6
0.186,63.8
0.187,64.0
0.188,64.0
0.189,64.0
0.19,63.8
0.191,64.0
0.192,63.8
0.193,63.8
0.194,63.8
0.195,64.0
0.196,63.8
0.197,64.0
0.198,63.8
0.199,63.6
0.2,64.0
0.201,63.8
0.202,64.0
0.203,63.8
0.20400000000000001,63.8
0.20500000000000002,63.8
0.20600000000000002,64.0
0.20700000000000002,64.2
0.20800000000000002,64.0
0.209,63.8
0.21,64.0
0.211,64.2
0.212,64.2
0.213,64.0
0.214,63.8
0.215,64.2
0.216,64.0
0.217,64.0
0.218,64.0
0.219,64.2
0.22,64.2
0.221,64.2
0.222,64.2
0.223,64.2
0.224,64.2
0.225,64.0
0.226,64.2
0.227,64.2
0.228,64.2
0.229,64.2
0.23,64.4
0.231,64.2
0.232,64.2
0.233,64.4
0.234,64.2
0.23500000000000001,64.2
0.23600000000000002,64.2
0.23700000000000002,64.4
0.23800000000000002,64.2
0.23900000000000002,64.4
0.24,64.6
0.241,64.2
0.242,64.6
0.243,64.6
0.244,64.2
0.245,64.4
0.246,64.4
0.247,64.6
0.248,64.4
0.249,64.6
0.25,64.8
0.251,64.6
0.252,64.8
0.253,64.6
0.254,64.8
0.255,64.8
0.256,64.6
0.257,64.8
0.258,64.8
0.259,64.8
0.26,64.8
0.261,65.0
0.262,65.0
0.263,65.0
0.264,65.0
0.265,65.0
0.266,65.0
0.267,65.0
0.268,65.0
0.269,65.0
0.27,65.0
0.271,65.2
0.272,65.2
0.273,65.0
0.274,65.0
0.275,65.4
0.276,65.4
0.277,65.0
0.278,65.2
0.279,65.4
0.28,65.2
0.281,65.4
0.28200000000000003,65.2
0.28300000000000003,65.4
0.28400000000000003,65.4
0.28500000000000003,65.4
0.28600000000000003,65.6
0.28700000000000003,65.8
0.28800000000000003,65.8
0.289,65.4
0.29,65.8
