####### Preamble ##########################
#	byt_nr=1
#	bit_nr=8
#	encdg=BIN
#	bn_fmt=RI
#	byt_or=MSB
#	nr_pt=10000
#	wfid="Ch2, DC coupling, 1.0E1 V/div, 1.0E0 s/div, 10000 points, Sample mode"
#	pt_fmt=Y
#	xincr=1.0E-3
#	pt_off=0
#	xzero=-5.0E0
#	xunit="s"
#	ymult=4.0E-1
#	yzero=0.0E0
#	yoff=-2.8E1
#	yunit="V"
#######  Cursor ##########################
#VBA;IND;"s";-3.68E0;-4.02E0;7.4E0;3.4E-1;CURSOR1;-5.0E0;2.4E0;8.8E0;-8.0E0;1.68E1;CURSOR1;"V";CURSOR1;CURSOR1X;-3.24E1;-2.08E1;9.6E0;4.32E1;RECT;0.0E0;0.0E0;0.0E0;0.0E0;0.0E0;0.0E0;9.9E37;9.9E37;9.9E37;9.9E37;9.9E37;9.9E37;9.9E37;9.9E37;9.9E37;9.9E37;9.9E37;9.9E37
#######  Data ##########################
#RIB;REF1;CH2;1;10000;1
# Delete the above lines to open in excel ######

Time [s],volts [V]
0.0,-14.0
0.001,-6.799999999999997
0.002,-8.399999999999999
0.003,-8.799999999999997
0.004,-8.799999999999997
0.005,-8.799999999999997
0.006,-8.799999999999997
0.007,-39.2
0.008,-38.8
0.009000000000000001,-38.8
0.01,-38.8
0.011,-38.4
0.012,-38.4
0.013000000000000001,-38.4
0.014,-38.4
0.015,-38.4
0.016,-38.4
0.017,-38.4
0.018000000000000002,-38.4
0.019,-38.0
0.02,-38.8
0.021,-38.4
0.022,-38.4
0.023,-38.4
0.024,-38.4
0.025,-38.0
0.026000000000000002,-38.4
0.027,-38.4
0.028,-38.0
0.029,-38.0
0.03,-38.0
0.031,-38.4
0.032,-38.0
0.033,-38.0
0.034,-37.6
0.035,-38.0
0.036000000000000004,-38.0
0.037,-37.6
0.038,-37.6
0.039,-38.0
0.04,-37.6
0.041,-37.6
0.042,-37.6
0.043000000000000003,-37.6
0.044,-37.6
0.045,-37.6
0.046,-37.2
0.047,-37.6
0.048,-37.2
0.049,-37.2
0.05,-37.6
0.051000000000000004,-37.6
0.052000000000000005,-37.6
0.053,-37.2
0.054,-37.6
0.055,-37.2
0.056,-37.2
0.057,-36.8
0.058,-37.2
0.059000000000000004,-37.2
0.06,-37.2
0.061,-37.2
0.062,-37.2
0.063,-37.2
0.064,-37.2
0.065,-36.8
0.066,-37.6
0.067,-36.8
0.068,-37.2
0.069,-37.2
0.07,-37.2
0.07100000000000001,-36.8
0.07200000000000001,-37.6
0.073,-37.2
0.074,-37.2
0.075,-37.2
0.076,-36.8
0.077,-36.4
0.078,-37.2
0.079,-36.8
0.08,-37.2
0.081,-37.6
0.082,-37.2
0.083,-37.2
0.084,-37.2
0.085,-36.8
0.08600000000000001,-36.8
0.08700000000000001,-37.2
0.088,-37.2
0.089,-36.8
0.09,-36.8
0.091,-37.2
0.092,-36.8
0.093,-37.2
0.094,-37.2
0.095,-36.8
0.096,-37.2
0.097,-37.2
0.098,-36.8
0.099,-36.8
0.1,-36.8
0.101,-36.4
0.10200000000000001,-36.8
0.10300000000000001,-37.2
0.10400000000000001,-36.8
0.105,-36.8
0.106,-36.8
0.107,-36.8
0.108,-36.8
0.109,-37.2
0.11,-36.8
0.111,-36.8
0.112,-36.8
0.113,-36.8
0.114,-36.8
0.115,-36.8
0.116,-36.8
0.117,-36.4
0.11800000000000001,-36.8
0.11900000000000001,-37.2
0.12,-36.8
0.121,-37.2
0.122,-37.2
0.123,-37.2
0.124,-36.8
0.125,-37.2
0.126,-37.2
0.127,-37.2
0.128,-37.2
0.129,-37.2
0.13,-37.2
0.131,-37.2
0.132,-37.6
0.133,-36.8
0.134,-37.2
0.135,-37.2
0.136,-37.2
0.137,-37.2
0.138,-37.6
0.139,-37.2
0.14,-37.2
0.14100000000000001,-37.2
0.14200000000000002,-37.2
0.14300000000000002,-37.2
0.14400000000000002,-37.2
0.145,-37.6
0.146,-37.6
0.147,-37.2
0.148,-37.6
0.149,-37.6
0.15,-37.2
0.151,-37.6
0.152,-37.2
0.153,-37.6
0.154,-38.0
0.155,-37.6
0.156,-37.6
0.157,-38.0
0.158,-37.6
0.159,-37.6
0.16,-37.6
0.161,-38.0
0.162,-37.6
0.163,-37.6
0.164,-37.6
0.165,-38.0
0.166,-37.6
0.167,-38.0
0.168,-38.0
0.169,-37.6
0.17,-37.6
0.171,-38.0
0.17200000000000001,-38.4
0.17300000000000001,-38.4
0.17400000000000002,-38.0
0.17500000000000002,-38.0
0.176,-37.6
0.177,-38.0
0.178,-38.0
0.179,-38.0
0.18,-38.4
0.181,-38.4
0.182,-38.4
0.183,-38.8
0.184,-38.0
0.185,-38.4
0.186,-38.4
0.187,-38.0
0.188,-38.8
0.189,-38.4
0.19,-38.4
0.191,-38.4
0.192,-39.2
0.193,-38.8
0.194,-39.2
0.195,-39.2
0.196,-39.2
0.197,-39.2
0.198,-38.8
0.199,-39.2
0.2,-39.6
0.201,-39.2
0.202,-39.2
0.203,-38.8
0.20400000000000001,-39.2
0.20500000000000002,-39.2
0.20600000000000002,-39.2
0.20700000000000002,-39.2
0.20800000000000002,-40.0
0.209,-39.2
0.21,-39.2
0.211,-39.6
0.212,-39.6
0.213,-40.0
0.214,-39.6
0.215,-39.6
0.216,-40.0
0.217,-40.0
0.218,-40.4
0.219,-39.6
0.22,-40.0
0.221,-39.6
0.222,-40.0
0.223,-40.0
0.224,-40.0
0.225,-40.0
0.226,-40.4
0.227,-40.0
0.228,-40.8
0.229,-40.4
0.23,-40.0
0.231,-40.4
0.232,-40.4
0.233,-40.4
0.234,-40.4
0.23500000000000001,-40.4
0.23600000000000002,-40.8
0.23700000000000002,-40.8
0.23800000000000002,-40.4
0.23900000000000002,-41.2
0.24,-40.8
0.241,-40.4
0.242,-40.8
0.243,-41.2
0.244,-41.6
0.245,-41.2
0.246,-41.2
0.247,-40.8
0.248,-41.6
0.249,-41.2
0.25,-41.6
0.251,-41.2
0.252,-41.6
0.253,-41.2
0.254,-41.2
0.255,-41.6
0.256,-41.2
0.257,-42.0
0.258,-41.6
0.259,-42.0
0.26,-41.6
0.261,-42.0
0.262,-42.0
0.263,-42.4
0.264,-42.4
0.265,-42.4
0.266,-42.0
0.267,-42.0
0.268,-42.4
0.269,-42.0
0.27,-42.4
0.271,-42.8
0.272,-42.4
0.273,-42.8
0.274,-42.4
0.275,-42.4
0.276,-42.8
0.277,-42.8
0.278,-42.8
0.279,-42.4
0.28,-42.8
0.281,-42.8
0.28200000000000003,-42.8
0.28300000000000003,-42.8
0.28400000000000003,-43.2
0.28500000000000003,-42.8
0.28600000000000003,-43.2
0.28700000000000003,-42.8
0.28800000000000003,-42.8
0.289,-42.8
0.29,-43.2
0.291,-43.2
0.292,-43.6
0.293,-43.2
0.294,-43.2
0.295,-43.6
0.296,-43.2
0.297,-43.6
0.298,-43.2
0.299,-43.6
0.3,-43.6
0.301,-43.2
0.302,-43.6
0.303,-43.6
0.304,-44.0
0.305,-44.0
0.306,-43.6
0.307,-44.0
0.308,-43.6
0.309,-44.0
0.31,-44.0
0.311,-43.6
0.312,-44.0
0.313,-44.400000000000006
0.314,-44.0
0.315,-44.0
0.316,-44.400000000000006
0.317,-44.0
0.318,-44.400000000000006
0.319,-44.400000000000006
0.32,-44.400000000000006
0.321,-44.0
0.322,-44.400000000000006
0.323,-44.0
0.324,-44.400000000000006
0.325,-44.400000000000006
0.326,-44.400000000000006
0.327,-44.400000000000006
0.328,-44.400000000000006
0.329,-44.400000000000006
0.33,-44.400000000000006
0.331,-44.8
0.332,-44.400000000000006
0.333,-44.8
0.334,-44.8
0.335,-44.400000000000006
0.336,-44.400000000000006
0.337,-44.400000000000006
0.338,-44.400000000000006
0.339,-44.400000000000006
0.34,-44.0
0.341,-44.8
0.342,-44.8
0.343,-44.400000000000006
0.34400000000000003,-44.400000000000006
0.34500000000000003,-44.400000000000006
0.34600000000000003,-44.8
0.34700000000000003,-44.8
0.34800000000000003,-44.8
0.34900000000000003,-44.8
0.35000000000000003,-44.400000000000006
0.35100000000000003,-44.8
0.352,-44.400000000000006
0.353,-44.8
0.354,-44.400000000000006
0.355,-44.8
0.356,-44.8
0.357,-44.8
0.358,-44.8
0.359,-44.8
0.36,-44.8
0.361,-44.8
0.362,-44.8
0.363,-44.8
