####### Preamble ##########################
#	byt_nr=1
#	bit_nr=8
#	encdg=BIN
#	bn_fmt=RI
#	byt_or=MSB
#	nr_pt=10000
#	wfid="Ch1, DC coupling, 5.0E0 V/div, 1.0E0 s/div, 10000 points, Sample mode"
#	pt_fmt=Y
#	xincr=1.0E-3
#	pt_off=0
#	xzero=-5.0E0
#	xunit="s"
#	ymult=2.0E-1
#	yzero=0.0E0
#	yoff=5.7E1
#	yunit="V"
#######  Cursor ##########################
#VBA;IND;"s";-3.68E0;-4.02E0;7.1E0;3.4E-1;CURSOR1;3.9E0;-3.2E0;-1.26E1;-2.1E1;8.4E0;CURSOR1;"V";CURSOR1;CURSOR1X;-3.24E1;-2.08E1;9.6E0;4.32E1;RECT;0.0E0;0.0E0;0.0E0;0.0E0;0.0E0;0.0E0;9.9E37;9.9E37;9.9E37;9.9E37;9.9E37;9.9E37;9.9E37;9.9E37;9.9E37;9.9E37;9.9E37;9.9E37
#######  Data ##########################
#RIB;REF1;CH1;1;10000;1
# Delete the above lines to open in excel ######

Time [s],volts [V]
0.0,64.0
0.001,67.6
0.002,66.8
0.003,66.6
0.004,66.6
0.005,66.6
0.006,66.6
0.007,65.0
0.008,65.0
0.009000000000000001,64.8
0.01,65.0
0.011,65.0
0.012,65.0
0.013000000000000001,65.0
0.014,65.0
0.015,65.0
0.016,65.2
0.017,65.2
0.018000000000000002,65.4
0.019,65.2
0.02,65.6
0.021,65.4
0.022,65.2
0.023,65.2
0.024,65.4
0.025,65.4
0.026000000000000002,65.4
0.027,65.6
0.028,65.4
0.029,65.6
0.03,65.8
0.031,65.6
0.032,65.6
0.033,65.8
0.034,65.8
0.035,65.8
0.036000000000000004,66.0
0.037,65.8
0.038,66.0
0.039,66.0
0.04,66.0
0.041,66.0
0.042,66.0
0.043000000000000003,66.0
0.044,66.2
0.045,66.0
0.046,66.2
0.047,66.2
0.048,66.4
0.049,66.4
0.05,66.4
0.051000000000000004,66.4
0.052000000000000005,66.4
0.053,66.6
0.054,66.4
0.055,66.4
0.056,66.6
0.057,66.6
0.058,66.4
0.059000000000000004,66.8
0.06,66.8
0.061,66.8
0.062,66.8
0.063,66.8
0.064,66.8
0.065,67.0
0.066,67.0
0.067,67.0
0.068,67.0
0.069,67.2
0.07,67.0
0.07100000000000001,67.2
0.07200000000000001,67.4
0.073,67.4
0.074,67.4
0.075,67.4
0.076,67.4
0.077,67.2
0.078,67.6
0.079,67.6
0.08,67.6
0.081,67.6
0.082,67.8
0.083,67.6
0.084,67.8
0.085,67.8
0.08600000000000001,67.8
0.08700000000000001,67.8
0.088,68.0
0.089,68.0
0.09,68.2
0.091,68.2
0.092,68.2
0.093,68.2
0.094,68.2
0.095,68.2
0.096,68.2
0.097,68.4
0.098,68.4
0.099,68.4
0.1,68.6
0.101,68.8
0.10200000000000001,68.6
0.10300000000000001,68.6
0.10400000000000001,68.6
0.105,68.6
0.106,69.0
0.107,69.0
0.108,68.8
0.109,69.0
0.11,69.2
0.111,69.2
0.112,69.0
0.113,69.2
0.114,69.4
0.115,69.4
0.116,69.2
0.117,69.4
0.11800000000000001,69.2
0.11900000000000001,69.4
0.12,69.6
0.121,69.4
0.122,69.6
0.123,69.6
0.124,69.8
0.125,69.8
0.126,69.8
0.127,69.8
0.128,70.0
0.129,70.0
0.13,70.0
0.131,70.0
0.132,70.2
0.133,70.2
0.134,70.2
0.135,70.2
0.136,70.2
0.137,70.2
0.138,70.2
0.139,70.4
0.14,70.4
0.14100000000000001,70.6
0.14200000000000002,70.8
0.14300000000000002,70.8
0.14400000000000002,70.6
0.145,70.8
0.146,70.8
0.147,70.8
0.148,70.8
0.149,70.8
0.15,70.8
0.151,70.8
0.152,71.0
0.153,71.0
0.154,71.0
0.155,71.0
0.156,71.2
0.157,71.2
0.158,71.0
0.159,71.0
0.16,71.2
0.161,71.0
0.162,71.2
0.163,71.2
0.164,71.6
0.165,71.4
0.166,71.2
0.167,71.4
0.168,71.4
0.169,71.6
0.17,71.4
0.171,71.6
0.17200000000000001,71.6
0.17300000000000001,71.6
0.17400000000000002,71.6
0.17500000000000002,71.6
0.176,71.8
0.177,72.0
0.178,72.0
0.179,71.8
0.18,71.8
0.181,71.8
0.182,72.0
0.183,72.0
0.184,72.0
0.185,72.0
0.186,71.8
0.187,72.0
0.188,72.2
0.189,72.0
0.19,72.0
0.191,72.2
0.192,72.2
0.193,72.0
0.194,72.0
0.195,72.2
0.196,72.2
0.197,72.4
0.198,72.4
0.199,72.4
0.2,72.4
0.201,72.2
0.202,72.2
0.203,72.4
0.20400000000000001,72.4
0.20500000000000002,72.4
0.20600000000000002,72.4
0.20700000000000002,72.4
0.20800000000000002,72.4
0.209,72.6
0.21,72.4
0.211,72.4
0.212,72.6
0.213,72.4
0.214,72.6
0.215,72.6
0.216,72.8
0.217,72.6
0.218,72.6
0.219,72.8
0.22,72.6
0.221,72.6
0.222,72.6
0.223,72.8
0.224,72.6
0.225,72.8
0.226,73.0
0.227,72.6
0.228,72.8
0.229,73.0
0.23,72.8
0.231,73.0
0.232,72.8
0.233,72.8
0.234,72.8
0.23500000000000001,72.8
0.23600000000000002,73.0
0.23700000000000002,73.0
0.23800000000000002,72.8
0.23900000000000002,72.8
0.24,73.0
0.241,72.8
0.242,72.8
0.243,72.6
0.244,73.0
0.245,72.8
0.246,73.0
0.247,72.8
0.248,72.8
0.249,72.6
0.25,72.8
0.251,72.8
0.252,73.0
0.253,72.6
0.254,72.8
0.255,72.8
0.256,72.6
0.257,73.0
0.258,72.6
0.259,72.4
0.26,72.6
0.261,72.8
0.262,72.8
0.263,73.0
0.264,72.6
0.265,72.8
0.266,72.6
0.267,72.6
0.268,72.6
0.269,72.8
0.27,72.4
0.271,72.8
0.272,72.6
0.273,72.4
0.274,72.6
0.275,72.6
0.276,72.8
0.277,72.6
0.278,72.4
0.279,72.4
0.28,72.4
0.281,72.6
0.28200000000000003,72.6
0.28300000000000003,72.4
0.28400000000000003,72.2
0.28500000000000003,72.4
0.28600000000000003,72.4
0.28700000000000003,72.2
0.28800000000000003,72.2
0.289,72.2
0.29,72.2
