####### Preamble ##########################
#	byt_nr=1
#	bit_nr=8
#	encdg=BIN
#	bn_fmt=RI
#	byt_or=MSB
#	nr_pt=10000
#	wfid="Ch1, DC coupling, 5.0E0 V/div, 1.0E0 s/div, 10000 points, Sample mode"
#	pt_fmt=Y
#	xincr=1.0E-3
#	pt_off=0
#	xzero=-5.0E0
#	xunit="s"
#	ymult=2.0E-1
#	yzero=0.0E0
#	yoff=5.7E1
#	yunit="V"
#######  Cursor ##########################
#VBA;IND;"s";-3.68E0;-4.02E0;8.7E0;3.4E-1;CURSOR1;-4.6E0;4.1E0;-1.26E1;-2.1E1;8.4E0;CURSOR1;"V";CURSOR1;CURSOR1X;-3.24E1;-2.08E1;9.6E0;4.32E1;RECT;0.0E0;0.0E0;0.0E0;0.0E0;0.0E0;0.0E0;9.9E37;9.9E37;9.9E37;9.9E37;9.9E37;9.9E37;9.9E37;9.9E37;9.9E37;9.9E37;9.9E37;9.9E37
#######  Data ##########################
#RIB;REF1;CH1;1;10000;1
# Delete the above lines to open in excel ######

Time [s],volts [V]
0.0,64.0
0.001,67.6
0.002,66.8
0.003,66.6
0.004,66.6
0.005,66.6
0.006,66.6
0.007,64.6
0.008,64.8
0.009000000000000001,64.6
0.01,64.8
0.011,64.8
0.012,64.8
0.013000000000000001,64.8
0.014,64.6
0.015,64.8
0.016,64.6
0.017,64.8
0.018000000000000002,64.8
0.019,65.0
0.02,65.0
0.021,65.0
0.022,64.6
0.023,65.0
0.024,65.0
0.025,65.2
0.026000000000000002,65.2
0.027,65.2
0.028,65.0
0.029,65.2
0.03,65.2
0.031,65.2
0.032,65.2
0.033,65.2
0.034,65.4
0.035,65.4
0.036000000000000004,65.4
0.037,65.2
0.038,65.4
0.039,65.4
0.04,65.6
0.041,65.6
0.042,65.6
0.043000000000000003,65.8
0.044,65.4
0.045,65.8
0.046,65.6
0.047,65.8
0.048,65.8
0.049,66.0
0.05,65.6
0.051000000000000004,65.8
0.052000000000000005,66.0
0.053,66.0
0.054,65.8
0.055,66.2
0.056,66.0
0.057,66.0
0.058,66.2
0.059000000000000004,66.4
0.06,66.2
0.061,66.2
0.062,66.4
0.063,66.4
0.064,66.2
0.065,66.4
0.066,66.4
0.067,66.4
0.068,66.6
0.069,66.8
0.07,66.6
0.07100000000000001,66.8
0.07200000000000001,66.8
0.073,66.6
0.074,66.8
0.075,66.8
0.076,66.8
0.077,66.8
0.078,66.8
0.079,67.0
0.08,66.8
0.081,67.2
0.082,67.2
0.083,67.2
0.084,67.2
0.085,67.4
0.08600000000000001,67.4
0.08700000000000001,67.4
0.088,67.4
0.089,67.4
0.09,67.6
0.091,67.6
0.092,67.4
0.093,67.6
0.094,67.8
0.095,67.8
0.096,67.8
0.097,68.0
0.098,68.0
0.099,67.8
0.1,68.0
0.101,67.8
0.10200000000000001,68.0
0.10300000000000001,68.0
0.10400000000000001,68.0
0.105,68.2
0.106,68.4
0.107,68.4
0.108,68.6
0.109,68.4
0.11,68.4
0.111,68.6
0.112,68.6
0.113,68.8
0.114,68.8
0.115,68.6
0.116,68.8
0.117,68.8
0.11800000000000001,68.8
0.11900000000000001,69.0
0.12,69.0
0.121,68.8
0.122,69.2
0.123,69.2
0.124,69.2
0.125,69.2
0.126,69.2
0.127,69.4
0.128,69.4
0.129,69.4
0.13,69.6
0.131,69.4
0.132,69.4
0.133,69.6
0.134,69.4
0.135,69.6
0.136,69.6
0.137,69.8
0.138,70.0
0.139,70.0
0.14,70.0
0.14100000000000001,70.0
0.14200000000000002,70.0
0.14300000000000002,70.0
0.14400000000000002,70.0
0.145,69.8
0.146,70.4
0.147,70.2
0.148,70.4
0.149,70.2
0.15,70.2
0.151,70.4
0.152,70.4
0.153,70.6
0.154,70.6
0.155,70.6
0.156,70.4
0.157,70.8
0.158,70.8
0.159,70.6
0.16,70.8
0.161,70.8
0.162,70.6
0.163,70.8
0.164,70.8
0.165,71.0
0.166,70.8
0.167,71.2
0.168,71.2
0.169,71.0
0.17,71.2
0.171,71.0
0.17200000000000001,71.2
0.17300000000000001,71.2
0.17400000000000002,71.4
0.17500000000000002,71.2
0.176,71.4
0.177,71.2
0.178,71.4
0.179,71.4
0.18,71.4
0.181,71.6
0.182,71.6
0.183,71.6
0.184,71.6
0.185,71.6
0.186,71.6
0.187,72.0
0.188,72.0
0.189,71.8
0.19,71.8
0.191,71.8
0.192,71.8
0.193,72.0
0.194,72.0
0.195,72.0
0.196,71.8
0.197,72.0
0.198,72.0
0.199,72.0
0.2,72.0
0.201,72.0
0.202,72.0
0.203,72.0
0.20400000000000001,72.2
0.20500000000000002,72.4
0.20600000000000002,72.4
0.20700000000000002,72.0
0.20800000000000002,72.4
0.209,72.4
0.21,72.2
0.211,72.4
0.212,72.2
0.213,72.4
0.214,72.4
0.215,72.4
0.216,72.4
0.217,72.4
0.218,72.4
0.219,72.4
0.22,72.4
0.221,72.4
0.222,72.4
0.223,72.6
0.224,72.6
0.225,72.6
0.226,72.4
0.227,72.6
0.228,72.6
0.229,72.6
0.23,72.6
0.231,72.4
0.232,72.6
0.233,72.6
0.234,72.6
0.23500000000000001,72.4
0.23600000000000002,72.8
0.23700000000000002,72.8
0.23800000000000002,73.0
0.23900000000000002,72.6
0.24,72.8
0.241,73.0
0.242,72.8
0.243,72.8
0.244,72.6
0.245,72.8
0.246,73.0
0.247,72.8
0.248,72.8
0.249,73.0
0.25,73.0
0.251,72.8
0.252,72.8
0.253,72.8
0.254,72.8
0.255,72.8
0.256,72.8
0.257,72.8
0.258,72.8
0.259,72.8
0.26,73.0
0.261,72.8
0.262,72.8
0.263,72.8
0.264,72.8
0.265,72.8
0.266,72.8
0.267,72.8
0.268,72.8
0.269,73.0
0.27,72.8
0.271,72.6
0.272,72.8
0.273,72.8
0.274,72.8
0.275,72.6
0.276,72.4
0.277,72.8
0.278,72.6
0.279,72.6
0.28,72.4
0.281,72.8
0.28200000000000003,72.6
0.28300000000000003,72.6
0.28400000000000003,72.6
0.28500000000000003,72.6
0.28600000000000003,72.6
0.28700000000000003,72.6
0.28800000000000003,72.6
0.289,72.4
0.29,72.6
