####### Preamble ##########################
#	byt_nr=1
#	bit_nr=8
#	encdg=BIN
#	bn_fmt=RI
#	byt_or=MSB
#	nr_pt=10000
#	wfid="Ch2, DC coupling, 1.0E1 V/div, 1.0E0 s/div, 10000 points, Sample mode"
#	pt_fmt=Y
#	xincr=1.0E-3
#	pt_off=0
#	xzero=-5.0E0
#	xunit="s"
#	ymult=4.0E-1
#	yzero=0.0E0
#	yoff=-2.8E1
#	yunit="V"
#######  Cursor ##########################
#VBA;IND;"s";-3.68E0;-4.02E0;4.9E0;3.4E-1;CURSOR1;-1.4E0;-9.0E-1;-1.26E1;-2.1E1;8.4E0;CURSOR1;"V";CURSOR1;CURSOR1X;-3.24E1;-2.08E1;9.6E0;4.32E1;RECT;0.0E0;0.0E0;0.0E0;0.0E0;0.0E0;0.0E0;9.9E37;9.9E37;9.9E37;9.9E37;9.9E37;9.9E37;9.9E37;9.9E37;9.9E37;9.9E37;9.9E37;9.9E37
#######  Data ##########################
#RIB;REF1;CH2;1;10000;1
# Delete the above lines to open in excel ######

Time [s],volts [V]
0.0,-14.0
0.001,-6.799999999999997
0.002,-8.399999999999999
0.003,-8.799999999999997
0.004,-8.799999999999997
0.005,-8.799999999999997
0.006,-8.799999999999997
0.007,-41.6
0.008,-41.6
0.009000000000000001,-41.6
0.01,-41.6
0.011,-41.6
0.012,-41.6
0.013000000000000001,-41.2
0.014,-42.0
0.015,-41.6
0.016,-42.0
0.017,-41.6
0.018000000000000002,-41.6
0.019,-42.0
0.02,-41.6
0.021,-42.0
0.022,-41.6
0.023,-42.0
0.024,-41.2
0.025,-41.2
0.026000000000000002,-41.6
0.027,-42.4
0.028,-41.6
0.029,-42.0
0.03,-41.6
0.031,-41.2
0.032,-42.0
0.033,-41.6
0.034,-41.6
0.035,-41.2
0.036000000000000004,-41.2
0.037,-41.6
0.038,-41.6
0.039,-41.2
0.04,-41.6
0.041,-41.2
0.042,-41.6
0.043000000000000003,-41.6
0.044,-41.6
0.045,-41.6
0.046,-41.6
0.047,-41.6
0.048,-41.6
0.049,-41.6
0.05,-41.6
0.051000000000000004,-42.0
0.052000000000000005,-42.0
0.053,-41.6
0.054,-41.6
0.055,-42.0
0.056,-41.6
0.057,-41.6
0.058,-41.6
0.059000000000000004,-41.6
0.06,-41.6
0.061,-41.6
0.062,-41.6
0.063,-41.6
0.064,-42.0
0.065,-41.2
0.066,-41.6
0.067,-42.0
0.068,-41.6
0.069,-42.0
0.07,-41.6
0.07100000000000001,-41.6
0.07200000000000001,-41.2
0.073,-41.2
0.074,-41.6
0.075,-41.6
0.076,-41.6
0.077,-41.6
0.078,-41.6
0.079,-42.0
0.08,-41.2
0.081,-41.6
0.082,-41.6
0.083,-41.2
0.084,-41.2
0.085,-41.6
0.08600000000000001,-42.0
0.08700000000000001,-41.6
0.088,-41.6
0.089,-42.0
0.09,-41.6
0.091,-42.0
0.092,-41.6
0.093,-41.6
0.094,-41.6
0.095,-41.6
0.096,-41.6
0.097,-41.6
0.098,-42.0
0.099,-41.6
0.1,-41.6
0.101,-41.2
0.10200000000000001,-41.6
0.10300000000000001,-41.6
0.10400000000000001,-41.6
0.105,-41.6
0.106,-41.6
0.107,-41.6
0.108,-41.6
0.109,-41.2
0.11,-41.6
0.111,-41.6
0.112,-41.6
0.113,-41.2
0.114,-42.0
0.115,-41.6
0.116,-41.6
0.117,-41.6
0.11800000000000001,-42.0
0.11900000000000001,-41.6
0.12,-41.6
0.121,-41.2
0.122,-42.0
0.123,-41.6
0.124,-41.2
0.125,-41.6
0.126,-41.6
0.127,-41.6
0.128,-41.6
0.129,-41.6
0.13,-41.6
0.131,-41.2
0.132,-41.6
0.133,-41.6
0.134,-41.6
0.135,-42.0
0.136,-41.6
0.137,-41.6
0.138,-41.2
0.139,-41.6
0.14,-41.6
0.14100000000000001,-41.6
0.14200000000000002,-41.6
0.14300000000000002,-42.0
0.14400000000000002,-41.6
0.145,-41.6
0.146,-41.6
0.147,-41.6
0.148,-41.6
0.149,-41.6
0.15,-41.2
0.151,-41.6
0.152,-42.0
0.153,-42.0
0.154,-41.6
0.155,-41.6
0.156,-41.6
0.157,-41.6
0.158,-42.0
0.159,-41.2
0.16,-41.6
0.161,-41.6
0.162,-41.6
0.163,-41.6
0.164,-41.6
0.165,-41.6
0.166,-41.6
0.167,-41.2
0.168,-41.6
0.169,-41.2
0.17,-41.6
0.171,-41.2
0.17200000000000001,-41.6
0.17300000000000001,-41.6
0.17400000000000002,-41.6
0.17500000000000002,-41.6
0.176,-41.6
0.177,-41.6
0.178,-41.6
0.179,-41.6
0.18,-41.6
0.181,-41.6
0.182,-41.6
0.183,-41.6
0.184,-41.6
0.185,-41.2
0.186,-41.6
0.187,-41.6
0.188,-41.6
0.189,-41.6
0.19,-42.0
0.191,-41.6
0.192,-41.6
0.193,-41.6
0.194,-41.6
0.195,-42.0
0.196,-41.6
0.197,-41.2
0.198,-41.6
0.199,-41.6
0.2,-41.6
0.201,-42.0
0.202,-41.6
0.203,-41.6
0.20400000000000001,-42.0
0.20500000000000002,-41.6
0.20600000000000002,-41.2
0.20700000000000002,-41.2
0.20800000000000002,-41.6
0.209,-41.2
0.21,-41.6
0.211,-41.6
0.212,-41.6
0.213,-41.6
0.214,-41.6
0.215,-41.2
0.216,-41.6
0.217,-42.0
0.218,-41.6
0.219,-41.6
0.22,-41.2
0.221,-41.2
0.222,-41.6
0.223,-41.6
0.224,-41.6
0.225,-41.6
0.226,-41.6
0.227,-41.6
0.228,-42.0
0.229,-41.6
0.23,-41.2
0.231,-41.6
0.232,-41.6
0.233,-41.2
0.234,-41.6
0.23500000000000001,-42.0
0.23600000000000002,-41.6
0.23700000000000002,-41.6
0.23800000000000002,-41.6
0.23900000000000002,-42.0
0.24,-42.0
0.241,-41.6
0.242,-41.2
0.243,-41.6
0.244,-41.6
0.245,-41.2
0.246,-41.6
0.247,-42.0
0.248,-41.2
0.249,-42.0
0.25,-41.6
0.251,-41.6
0.252,-41.6
0.253,-41.6
0.254,-41.2
0.255,-41.2
0.256,-41.2
0.257,-41.6
0.258,-41.6
0.259,-41.6
0.26,-41.2
0.261,-41.6
0.262,-41.6
0.263,-41.6
0.264,-41.6
0.265,-41.6
0.266,-41.6
0.267,-41.6
0.268,-41.6
0.269,-41.2
0.27,-41.6
0.271,-41.6
0.272,-41.6
0.273,-41.2
0.274,-41.6
0.275,-41.2
0.276,-41.6
0.277,-41.6
0.278,-41.6
0.279,-41.6
0.28,-42.0
0.281,-41.6
0.28200000000000003,-41.2
0.28300000000000003,-42.0
0.28400000000000003,-41.2
0.28500000000000003,-41.6
0.28600000000000003,-41.6
0.28700000000000003,-41.6
0.28800000000000003,-41.6
0.289,-41.6
0.29,-41.6
0.291,-41.6
0.292,-41.2
0.293,-42.0
0.294,-41.6
0.295,-41.6
0.296,-41.2
0.297,-41.2
0.298,-41.6
0.299,-41.2
0.3,-41.6
0.301,-41.6
0.302,-41.6
0.303,-41.6
0.304,-41.6
0.305,-41.6
0.306,-41.6
0.307,-41.6
0.308,-41.6
0.309,-41.6
0.31,-42.0
0.311,-41.6
0.312,-41.6
0.313,-41.6
0.314,-41.6
0.315,-41.2
0.316,-41.6
0.317,-41.6
0.318,-42.0
0.319,-41.6
0.32,-42.0
0.321,-42.0
0.322,-41.6
0.323,-41.6
0.324,-41.6
0.325,-41.6
0.326,-41.6
0.327,-41.6
0.328,-41.6
0.329,-41.6
0.33,-41.6
0.331,-41.6
0.332,-41.6
0.333,-41.6
0.334,-41.6
0.335,-41.6
0.336,-41.6
0.337,-42.0
0.338,-41.6
0.339,-41.6
0.34,-41.6
0.341,-42.4
0.342,-42.0
0.343,-42.0
0.34400000000000003,-42.0
0.34500000000000003,-41.6
0.34600000000000003,-41.2
0.34700000000000003,-41.6
0.34800000000000003,-41.2
0.34900000000000003,-41.2
0.35000000000000003,-41.6
0.35100000000000003,-41.6
0.352,-41.2
0.353,-41.6
0.354,-41.6
0.355,-41.6
0.356,-41.6
0.357,-41.2
0.358,-41.2
0.359,-41.6
0.36,-41.6
0.361,-41.6
0.362,-41.6
0.363,-41.6
0.364,-42.0
0.365,-41.6
0.366,-41.6
0.367,-41.6
0.368,-42.0
0.369,-41.6
0.37,-42.0
0.371,-41.6
0.372,-41.6
0.373,-42.0
0.374,-41.6
