####### Preamble ##########################
#	byt_nr=1
#	bit_nr=8
#	encdg=BIN
#	bn_fmt=RI
#	byt_or=MSB
#	nr_pt=10000
#	wfid="Ch1, DC coupling, 5.0E0 V/div, 2.0E-1 s/div, 10000 points, Sample mode"
#	pt_fmt=Y
#	xincr=2.0E-4
#	pt_off=0
#	xzero=-1.0E0
#	xunit="s"
#	ymult=2.0E-1
#	yzero=0.0E0
#	yoff=5.7E1
#	yunit="V"
#######  Cursor ##########################
#VBA;IND;"s";-7.36E-1;-8.04E-1;0.0E0;6.8E-2;CURSOR1;4.5E0;4.5E0;-1.26E1;-2.1E1;8.4E0;CURSOR1;"V";CURSOR1;CURSOR1X;-3.24E1;-2.08E1;9.6E0;4.32E1;RECT;0.0E0;0.0E0;0.0E0;0.0E0;0.0E0;0.0E0;9.9E37;9.9E37;9.9E37;9.9E37;9.9E37;9.9E37;9.9E37;9.9E37;9.9E37;9.9E37;9.9E37;9.9E37
#######  Data ##########################
#RIB;REF1;CH1;1;10000;1
# Delete the above lines to open in excel ######

Time [s],volts [V]
0.0,64.0
0.0002,67.6
0.0004,66.8
0.0006000000000000001,66.6
0.0008,66.6
0.001,66.6
0.0012000000000000001,66.6
0.0014,72.8
0.0016,73.0
0.0018000000000000002,73.0
0.002,73.0
0.0022,72.8
0.0024000000000000002,72.6
0.0026000000000000003,72.6
0.0028,73.0
0.003,72.8
0.0032,72.8
0.0034000000000000002,72.8
0.0036000000000000003,72.8
0.0038,72.8
0.004,73.0
0.004200000000000001,72.8
0.0044,73.0
0.0046,72.8
0.0048000000000000004,72.8
0.005,72.8
0.005200000000000001,72.8
0.0054,72.8
0.0056,73.0
0.0058000000000000005,72.8
0.006,72.8
0.006200000000000001,73.0
0.0064,72.8
0.0066,72.8
0.0068000000000000005,72.8
0.007,72.6
0.007200000000000001,72.8
0.0074,73.0
0.0076,72.8
0.0078000000000000005,72.8
0.008,73.0
0.0082,73.0
0.008400000000000001,72.8
0.0086,72.8
0.0088,72.8
0.009000000000000001,73.0
0.0092,72.8
0.0094,72.8
0.009600000000000001,72.8
0.0098,73.0
0.01,72.6
0.0102,73.0
